
Device #1:
----------

Device type:        BlueField3          
Name:               900-9D3B6-00CV-A_Ax 
Description:        NVIDIA BlueField-3 B3220 P-Series FHHL DPU; 200GbE (default mode) / NDR200 IB; Dual-port QSFP112; PCIe Gen5.0 x16 with x16 PCIe extension option; 16 Arm cores; 32GB on-board DDR; integrated BMC; Crypto Enabled
Device:             0000:94:00.0        

Configurations:                                          Default             Current         Next Boot
        PCI_SWITCH2_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
        PCI_SWITCH_EMULATION_NUM_PORT               16                   16                   16                  
        PCI_WR_ORDERING                             per_mkey(0)          per_mkey(0)          per_mkey(0)         
        PCORE0_REVERSAL                             False(0)             False(0)             False(0)            
        PCORE1_REVERSAL                             False(0)             False(0)             False(0)            
        PCORE2_REVERSAL                             False(0)             False(0)             False(0)            
*       PER_PF_NUM_SF                               False(0)             True(1)              True(1)             
*       PF_BAR2_ENABLE                              True(1)              False(0)             False(0)            
        PF_BAR2_SIZE                                3                    3                    3                   
        PF_DEVICE_ID_ENABLE                         False(0)             False(0)             False(0)            
        PF_DEVICE_ID                                41692                41692                41692               
        PF_LOG_BAR_SIZE                             5                    5                    5                   
        PF_NUM_OF_VF_VALID                          False(0)             False(0)             False(0)            
        PF_NUM_PF_MSIX                              63                   63                   63                  
        PF_NUM_PF_MSIX_VALID                        False(0)             False(0)             False(0)            
        PF_SD_GROUP                                 0                    0                    0                   
*       PF_SF_BAR_SIZE                              0                    10                   10                  
*       PF_TOTAL_SF                                 0                    236                  236                 
        PHY_AUTO_NEG_P1                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_AUTO_NEG_P2                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_ETH_RECOVERY_P1                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_ETH_RECOVERY_P2                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_FEC_OVERRIDE_P1                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_FEC_OVERRIDE_P2                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_RATE_MASK_OVERRIDE_P1                   False(0)             False(0)             False(0)            
        PHY_RATE_MASK_OVERRIDE_P2                   False(0)             False(0)             False(0)            
        PLDM_FW_UPDATE_DISABLE                      False(0)             False(0)             False(0)            
        PORT_OWNER                                  True(1)              True(1)              True(1)             
        PRIO_TAG_REQUIRED_EN                        False(0)             False(0)             False(0)            
        PROG_PARSE_GRAPH                            False(0)             False(0)             False(0)            
        QOS_TRUST_STATE_P1                          TRUST_PCP(1)         TRUST_PCP(1)         TRUST_PCP(1)        
        QOS_TRUST_STATE_P2                          TRUST_PCP(1)         TRUST_PCP(1)         TRUST_PCP(1)        
        RATE_REDUCE_MONITOR_PERIOD_P1               4                    4                    4                   
        RATE_REDUCE_MONITOR_PERIOD_P2               4                    4                    4                   
        RATE_TO_SET_ON_FIRST_CNP_P1                 0                    0                    0                   
        RATE_TO_SET_ON_FIRST_CNP_P2                 0                    0                    0                   
        RBT_DISABLE                                 False(0)             False(0)             False(0)            
        RDE_DISABLE                                 False(0)             False(0)             False(0)            
        RDMA_SELECTIVE_REPEAT_EN                    False(0)             False(0)             False(0)            
*       REAL_TIME_CLOCK_ENABLE                      False(0)             True(1)              True(1)             
        RENEG_ON_CHANGE                             True(1)              True(1)              True(1)             
        RESET_WITH_HOST_ON_ERRORS                   False(0)             False(0)             False(0)            
        ROCE_ADAPTIVE_ROUTING_EN                    False(0)             False(0)             False(0)            
        ROCE_CC_CNP_MODERATION_P1                   DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_CNP_MODERATION_P2                   DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_DCQCN_COMPATIBILITY_MODE            DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_IFA2_TA                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_LEGACY_DCQCN_SW                     False(0)             False(0)             False(0)            
        ROCE_CC_PRIO_MASK_P1                        255                  255                  255                 
        ROCE_CC_PRIO_MASK_P2                        255                  255                  255                 
        ROCE_CC_SHAPER_COALESCE_P1                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_SHAPER_COALESCE_P2                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_STEERING_EXT                        DISABLED(1)          DISABLED(1)          DISABLED(1)         
        ROCE_CONTROL                                ROCE_ENABLE(2)       ROCE_ENABLE(2)       ROCE_ENABLE(2)      
        ROCE_NEXT_PROTOCOL                          254                  254                  254                 
        ROCE_RTT_RESP_DSCP_MODE_P1                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_RTT_RESP_DSCP_MODE_P2                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_RTT_RESP_DSCP_P1                       0                    0                    0                   
        ROCE_RTT_RESP_DSCP_P2                       0                    0                    0                   
        RPG_AI_RATE_P1                              5                    5                    5                   
        RPG_AI_RATE_P2                              5                    5                    5                   
        RPG_BYTE_RESET_P1                           32767                32767                32767               
        RPG_BYTE_RESET_P2                           32767                32767                32767               
        RPG_GD_P1                                   11                   11                   11                  
        RPG_GD_P2                                   11                   11                   11                  
        RPG_HAI_RATE_P1                             50                   50                   50                  
        RPG_HAI_RATE_P2                             50                   50                   50                  
        RPG_MAX_RATE_P1                             0                    0                    0                   
        RPG_MAX_RATE_P2                             0                    0                    0                   
        RPG_MIN_DEC_FAC_P1                          50                   50                   50                  
        RPG_MIN_DEC_FAC_P2                          50                   50                   50                  
        RPG_MIN_RATE_P1                             1                    1                    1                   
        RPG_MIN_RATE_P2                             1                    1                    1                   
        RPG_THRESHOLD_P1                            1                    1                    1                   
        RPG_THRESHOLD_P2                            1                    1                    1                   
        RPG_TIME_RESET_P1                           300                  300                  300                 
        RPG_TIME_RESET_P2                           300                  300                  300                 
        RT_PPS_ENABLED_ON_POWERUP                   False(0)             False(0)             False(0)            
        SAFE_MODE_ENABLE                            True(1)              True(1)              True(1)             
        SAFE_MODE_THRESHOLD                         10                   10                   10                  
        SILENT_MODE                                 False(0)             False(0)             False(0)            
        SM_DISABLE                                  False(0)             False(0)             False(0)            
        SRIOV_EN                                    True(1)              True(1)              True(1)             
        SRIOV_IB_ROUTING_MODE_P1                    LID(1)               LID(1)               LID(1)              
        SRIOV_IB_ROUTING_MODE_P2                    LID(1)               LID(1)               LID(1)              
        STEERING_CACHE_REFRESH                      0                    0                    0                   
        STRAP_SD_OR_MH                              False(0)             False(0)             False(0)            
        STRICT_VF_MSIX_NUM                          False(0)             False(0)             False(0)            
        SWITCH_COMPT_FEATURE_MASK                   0x0(0)               0x0(0)               0x0(0)              
        SWP_L4_CHECKSUM_MODE                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        TRACER_ENABLE                               True(1)              True(1)              True(1)             
        TUNNEL_ECN_COPY_DISABLE                     False(0)             False(0)             False(0)            
        TUNNEL_IP_PROTO_ENTROPY_DISABLE             False(0)             False(0)             False(0)            
        TX_PCI_DATA_FETCH_LATENCY                   40                   40                   40                  
        TX_SCHEDULER_BURST                          0                    0                    0                   
        TX_SCHEDULER_FWS_REACTIVITY                 DIRECT(1)            DIRECT(1)            DIRECT(1)           
        TX_SCHEDULER_LOCALITY_FACTOR                0                    0                    0                   
        TX_SCHEDULER_LOCALITY_MODE                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        UCTX_EN                                     True(1)              True(1)              True(1)             
        UEFI_HII_EN                                 True(1)              True(1)              True(1)             
        UEFI_LOGS                                   DISABLED(0)          DISABLED(0)          DISABLED(0)         
        UNKNOWN_UPLINK_MAC_FLOOD_P1                 False(0)             False(0)             False(0)            
        UNKNOWN_UPLINK_MAC_FLOOD_P2                 False(0)             False(0)             False(0)            
        UPSTREAM_PORT0_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT0_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT1_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT1_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT2_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT2_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT3_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT3_TX_AMP                       0                    0                    0                   
        UPT_EMULATION_ENABLE                        False(0)             False(0)             False(0)            
        USER_PROGRAMMABLE_CC                        False(0)             False(0)             False(0)            
        VF_LOG_BAR_SIZE                             1                    1                    1                   
        VF_MIGRATION_MODE                           DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        VF_NODNIC_ENABLE                            False(0)             False(0)             False(0)            
        VF_VPD_ENABLE                               False(0)             False(0)             False(0)            
        VIRTIO_BLK_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
*       VIRTIO_BLK_EMULATION_NUM_MSIX               2                    0                    2                   
        VIRTIO_BLK_EMULATION_NUM_PF                 0                    0                    0                   
        VIRTIO_BLK_EMULATION_NUM_VF_MSIX            0                    0                    0                   
        VIRTIO_BLK_EMULATION_NUM_VF                 0                    0                    0                   
        VIRTIO_BLK_EMULATION_SUBSYSTEM_ID           4162                 4162                 4162                
        VIRTIO_BLK_EMU_SUBS_VENDOR_ID               6900                 6900                 6900                
        VIRTIO_FS_EMULATION_ENABLE                  False(0)             False(0)             False(0)            
*       VIRTIO_FS_EMULATION_NUM_MSIX                2                    0                    2                   
        VIRTIO_FS_EMULATION_NUM_PF                  0                    0                    0                   
        VIRTIO_FS_EMULATION_NUM_VF_MSIX             0                    0                    0                   
        VIRTIO_FS_EMULATION_NUM_VF                  0                    0                    0                   
        VIRTIO_FS_EMULATION_SUBSYSTEM_ID            4186                 4186                 4186                
        VIRTIO_FS_EMU_SUBSYSTEM_VENDOR_ID           6900                 6900                 6900                
        VIRTIO_NET_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
*       VIRTIO_NET_EMULATION_NUM_MSIX               2                    0                    2                   
        VIRTIO_NET_EMULATION_NUM_PF                 0                    0                    0                   
        VIRTIO_NET_EMULATION_NUM_VF_MSIX            0                    0                    0                   
        VIRTIO_NET_EMULATION_NUM_VF                 0                    0                    0                   
        VIRTIO_NET_EMULATION_SUBSYSTEM_ID           4161                 4161                 4161                
        VIRTIO_NET_EMU_SUBSYSTEM_VENDOR_ID          6900                 6900                 6900                
        VL15_BUFFER_SIZE_P1                         0                    0                    0                   
        VL15_BUFFER_SIZE_P2                         0                    0                    0                   
        VL_BUFFER_ALLOCATION_P1                     FULL_DYNAMIC(1)      FULL_DYNAMIC(1)      FULL_DYNAMIC(1)     
        VL_BUFFER_ALLOCATION_P2                     FULL_DYNAMIC(1)      FULL_DYNAMIC(1)      FULL_DYNAMIC(1)     
        VL_ISOLATION_MODE_P1                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        VL_ISOLATION_MODE_P2                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ZERO_TOUCH_TUNING_ENABLE                    False(0)             False(0)             False(0)            
The '*' shows parameters with next value different from default/current value.

The 'RO' shows parameters which are for read only and cannot be changed

Device #1:
----------

Device type:        BlueField3          
Name:               900-9D3B6-00CV-A_Ax 
Description:        NVIDIA BlueField-3 B3220 P-Series FHHL DPU; 200GbE (default mode) / NDR200 IB; Dual-port QSFP112; PCIe Gen5.0 x16 with x16 PCIe extension option; 16 Arm cores; 32GB on-board DDR; integrated BMC; Crypto Enabled
Device:             0000:94:00.1        

Configurations:                                          Default             Current         Next Boot
        ACCURATE_TX_SCHEDULER                       False(0)             False(0)             False(0)            
        ADVANCED_PCI_SETTINGS                       False(0)             False(0)             False(0)            
 RO     ADVANCED_TESTABILITY                        False(0)             False(0)             False(0)            
        AES_XTS_TWEAK_INC_64                        False(0)             False(0)             False(0)            
        ALLOW_RD_COUNTERS                           True(1)              True(1)              True(1)             
        ATS_ENABLED                                 False(0)             False(0)             False(0)            
        AUTO_POWER_SAVE_LINK_DOWN_P1                False(0)             False(0)             False(0)            
        AUTO_POWER_SAVE_LINK_DOWN_P2                False(0)             False(0)             False(0)            
        BAR_PAGE_ALIGNMENT                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        BOOT_DBG_LOG                                False(0)             False(0)             False(0)            
        BOOT_INTERRUPT_DIS                          False(0)             False(0)             False(0)            
        BOOT_LACP_DIS                               True(1)              True(1)              True(1)             
        BOOT_PKEY                                   0                    0                    0                   
        BOOT_UNDI_NETWORK_WAIT                      0                    0                    0                   
        BOOT_VLAN_EN                                False(0)             False(0)             False(0)            
        BOOT_VLAN                                   1                    1                    1                   
        CLAMP_TGT_RATE_AFTER_TIME_INC_P1            True(1)              True(1)              True(1)             
        CLAMP_TGT_RATE_AFTER_TIME_INC_P2            True(1)              True(1)              True(1)             
        CLAMP_TGT_RATE_P1                           False(0)             False(0)             False(0)            
        CLAMP_TGT_RATE_P2                           False(0)             False(0)             False(0)            
        CNP_802P_PRIO_P1                            6                    6                    6                   
        CNP_802P_PRIO_P2                            6                    6                    6                   
        CNP_DSCP_P1                                 48                   48                   48                  
        CNP_DSCP_P2                                 48                   48                   48                  
        CQE_COMPRESSION                             BALANCED(0)          BALANCED(0)          BALANCED(0)         
        CRYPTO_POLICY                               UNRESTRICTED(1)      UNRESTRICTED(1)      UNRESTRICTED(1)     
 RO     CUSTOMIZATION_NUMBER                        Array[0..15]         Array[0..15]         Array[0..15]        
        DCBX_CEE_P1                                 True(1)              True(1)              True(1)             
        DCBX_CEE_P2                                 True(1)              True(1)              True(1)             
        DCBX_IEEE_P1                                True(1)              True(1)              True(1)             
        DCBX_IEEE_P2                                True(1)              True(1)              True(1)             
        DCBX_WILLING_P1                             True(1)              True(1)              True(1)             
        DCBX_WILLING_P2                             True(1)              True(1)              True(1)             
        DCE_TCP_G_P1                                1019                 1019                 1019                
        DCE_TCP_G_P2                                1019                 1019                 1019                
        DCE_TCP_RTT_P1                              1                    1                    1                   
        DCE_TCP_RTT_P2                              1                    1                    1                   
        DCR_LIFO_SIZE                               16384                16384                16384               
        DELAY_HOST_OS_INIT                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        DO_NOT_CLEAR_PORT_STATS_P1                  False(0)             False(0)             False(0)            
        DO_NOT_CLEAR_PORT_STATS_P2                  False(0)             False(0)             False(0)            
        DPA_AUTHENTICATION                          False(0)             False(0)             False(0)            
        DUP_MAC_ACTION_P1                           LAST_CFG(0)          LAST_CFG(0)          LAST_CFG(0)         
        DUP_MAC_ACTION_P2                           LAST_CFG(0)          LAST_CFG(0)          LAST_CFG(0)         
        DYNAMIC_VF_MSIX_TABLE                       False(0)             False(0)             False(0)            
        ESWITCH_HAIRPIN_DESCRIPTORS                 Array[0..7]          Array[0..7]          Array[0..7]         
        ESWITCH_HAIRPIN_TOT_BUFFER_SIZE             Array[0..7]          Array[0..7]          Array[0..7]         
        ETH_ETS_GRANULARITY_P1                      DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ETH_ETS_GRANULARITY_P2                      DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ETS_SCHED_MODE_P1                           device_default(0)    device_default(0)    device_default(0)   
        ETS_SCHED_MODE_P2                           device_default(0)    device_default(0)    device_default(0)   
        EXP_ROM_NVME_UEFI_x86_ENABLE                True(1)              True(1)              True(1)             
        EXP_ROM_PXE_ENABLE                          True(1)              True(1)              True(1)             
        EXP_ROM_UEFI_ARM_ENABLE                     True(1)              True(1)              True(1)             
        EXP_ROM_UEFI_x86_ENABLE                     True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_BLK_UEFI_ARM_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_BLK_UEFI_x86_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_PXE_ENABLE               True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_UEFI_ARM_ENABLE          True(1)              True(1)              True(1)             
        EXP_ROM_VIRTIO_NET_UEFI_x86_ENABLE          True(1)              True(1)              True(1)             
        FLEX_IPV4_OVER_VXLAN_PORT                   0                    0                    0                   
        FLEX_PARSER_PROFILE_ENABLE                  0                    0                    0                   
        HAIRPIN_DATA_BUFFER_LOCK                    False(0)             False(0)             False(0)            
        HIDE_PORT2_PF                               False(0)             False(0)             False(0)            
        HOST_CHAINING_CACHE_DISABLE                 False(0)             False(0)             False(0)            
        HOST_CHAINING_DESCRIPTORS                   Array[0..7]          Array[0..7]          Array[0..7]         
        HOST_CHAINING_MODE                          DISABLED(0)          DISABLED(0)          DISABLED(0)         
        HOST_CHAINING_TOTAL_BUFFER_SIZE             Array[0..7]          Array[0..7]          Array[0..7]         
        IB_CC_SHAPER_COALESCE_P1                    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_CC_SHAPER_COALESCE_P2                    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ETS_GRANULARITY_P1                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ETS_GRANULARITY_P2                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        IB_ROUTING_MODE_P1                          LID(1)               LID(1)               LID(1)              
        IB_ROUTING_MODE_P2                          LID(1)               LID(1)               LID(1)              
        ICM_CACHE_MODE                              DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        INITIAL_ALPHA_VALUE_P1                      1023                 1023                 1023                
        INITIAL_ALPHA_VALUE_P2                      1023                 1023                 1023                
        INTERNAL_CPU_ESWITCH_MANAGER                ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_IB_VPORT0                      ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_MODEL                          EMBEDDED_CPU(1)      EMBEDDED_CPU(1)      EMBEDDED_CPU(1)     
        INTERNAL_CPU_OFFLOAD_ENGINE                 ENABLED(0)           ENABLED(0)           ENABLED(0)          
        INTERNAL_CPU_PAGE_SUPPLIER                  ECPF(0)              ECPF(0)              ECPF(0)             
        INTERNAL_CPU_RSHIM                          ENABLED(0)           ENABLED(0)           ENABLED(0)          
        INT_CPU_AUTO_SHUTDOWN                       DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        INT_LOG_MAX_PAYLOAD_SIZE                    AUTOMATIC(0)         AUTOMATIC(0)         AUTOMATIC(0)        
        IP_OVER_VXLAN_EN                            False(0)             False(0)             False(0)            
        IP_VER                                      IPv4(0)              IPv4(0)              IPv4(0)             
        KEEP_ETH_LINK_UP_P1                         True(1)              True(1)              True(1)             
        KEEP_ETH_LINK_UP_P2                         True(1)              True(1)              True(1)             
        KEEP_IB_LINK_UP_P1                          False(0)             False(0)             False(0)            
        KEEP_IB_LINK_UP_P2                          False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_BOOT_P1                     False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_BOOT_P2                     False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_STANDBY_P1                  False(0)             False(0)             False(0)            
        KEEP_LINK_UP_ON_STANDBY_P2                  False(0)             False(0)             False(0)            
        LAG_RESOURCE_ALLOCATION                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        LARGE_MTU_TWEAK_64                          False(0)             False(0)             False(0)            
        LEGACY_BOOT_PROTOCOL                        PXE(1)               PXE(1)               PXE(1)              
        LINK_TYPE_P1                                ETH(2)               ETH(2)               ETH(2)              
        LINK_TYPE_P2                                ETH(2)               ETH(2)               ETH(2)              
        LLDP_NB_DCBX_P1                             False(0)             False(0)             False(0)            
        LLDP_NB_DCBX_P2                             False(0)             False(0)             False(0)            
        LLDP_NB_RX_MODE_P1                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_RX_MODE_P2                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_TX_MODE_P1                          OFF(0)               OFF(0)               OFF(0)              
        LLDP_NB_TX_MODE_P2                          OFF(0)               OFF(0)               OFF(0)              
        LOAD_BALANCE_MODE_P1                        TRANSPORT(2)         TRANSPORT(2)         TRANSPORT(2)        
        LOAD_BALANCE_MODE_P2                        TRANSPORT(2)         TRANSPORT(2)         TRANSPORT(2)        
        LOG_DCR_HASH_TABLE_SIZE                     11                   11                   11                  
        LOG_MAX_OUTSTANDING_READ_ATOMIC             0                    0                    0                   
        LOG_MAX_OUTSTANDING_WQE                     7                    7                    7                   
        LOG_MAX_QUEUE                               17                   17                   17                  
        LOG_TX_PSN_WINDOW                           9                    9                    9                   
        LRO_LOG_TIMEOUT0                            6                    6                    6                   
        LRO_LOG_TIMEOUT1                            7                    7                    7                   
        LRO_LOG_TIMEOUT2                            8                    8                    8                   
        LRO_LOG_TIMEOUT3                            13                   13                   13                  
        MAX_PACKET_LIFETIME                         0                    0                    0                   
        MCTP_I3C_DISABLE                            False(0)             False(0)             False(0)            
        MEMIC_ATOMIC                                MEMIC_ATOMIC_ENABLE(2) MEMIC_ATOMIC_ENABLE(2) MEMIC_ATOMIC_ENABLE(2)
        MEMIC_BAR_SIZE                              0                    0                    0                   
        MEMIC_SIZE_LIMIT                            _256KB(1)            _256KB(1)            _256KB(1)           
        MIN_TIME_BETWEEN_CNPS_P1                    4                    4                    4                   
        MIN_TIME_BETWEEN_CNPS_P2                    4                    4                    4                   
        MKEY_BY_NAME                                False(0)             False(0)             False(0)            
        MKEY_BY_NAME_RANGE                          DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MODULE_SPLIT_M0                             Array[0..15]         Array[0..15]         Array[0..15]        
        MODULE_SPLIT_M1                             Array[0..15]         Array[0..15]         Array[0..15]        
        MPFS_MC_LOOPBACK_DISABLE_P1                 False(0)             False(0)             False(0)            
        MPFS_MC_LOOPBACK_DISABLE_P2                 False(0)             False(0)             False(0)            
        MPFS_UC_LOOPBACK_DISABLE_P1                 False(0)             False(0)             False(0)            
        MPFS_UC_LOOPBACK_DISABLE_P2                 False(0)             False(0)             False(0)            
        MULTIPATH_DSCP                              DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MULTI_PCI_RESOURCE_SHARING                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        MULTI_PORT_VHCA_EN                          False(0)             False(0)             False(0)            
        NON_PREFETCHABLE_PF_BAR                     False(0)             False(0)             False(0)            
        NUM_OF_PFC_P1                               8                    8                    8                   
        NUM_OF_PFC_P2                               8                    8                    8                   
        NUM_OF_PF                                   2                    2                    2                   
        NUM_OF_PLANES_P1                            0                    0                    0                   
        NUM_OF_PLANES_P2                            0                    0                    0                   
        NUM_OF_TC_P1                                _8_TCs(0)            _8_TCs(0)            _8_TCs(0)           
        NUM_OF_TC_P2                                _8_TCs(0)            _8_TCs(0)            _8_TCs(0)           
*       NUM_OF_VFS                                  16                   2                    2                   
        NUM_OF_VL_P1                                _4_VLs(3)            _4_VLs(3)            _4_VLs(3)           
        NUM_OF_VL_P2                                _4_VLs(3)            _4_VLs(3)            _4_VLs(3)           
        NUM_PF_MSIX                                 63                   63                   63                  
        NUM_PF_MSIX_VALID                           True(1)              True(1)              True(1)             
        NUM_VF_MSIX                                 11                   11                   11                  
        NVME_EMULATION_CLASS_CODE                   67586                67586                67586               
        NVME_EMULATION_DEVICE_ID                    24577                24577                24577               
        NVME_EMULATION_ENABLE                       False(0)             False(0)             False(0)            
        NVME_EMULATION_MAX_QUEUE_DEPTH              0                    0                    0                   
        NVME_EMULATION_NUM_MSIX                     0                    0                    0                   
        NVME_EMULATION_NUM_PF                       1                    1                    1                   
        NVME_EMULATION_NUM_VF_MSIX                  0                    0                    0                   
        NVME_EMULATION_NUM_VF                       0                    0                    0                   
        NVME_EMULATION_REVISION_ID                  0                    0                    0                   
        NVME_EMULATION_SUBSYSTEM_ID                 0                    0                    0                   
        NVME_EMULATION_SUBSYSTEM_VENDOR_ID          0                    0                    0                   
        NVME_EMULATION_VENDOR_ID                    5555                 5555                 5555                
        OFF_BOARD_SERIALIZER                        False(0)             False(0)             False(0)            
